Dataset,Estado,Arista,Deg_Val,Deg_Top1,Bet_Val,Bet_Top1,Clo_Val,Clo_Top1,PR_Val,PR_Top1,ASP_Val,Dia_Val,Eig_Val,Eig_Top1
yeast.edgelist,Original,Ninguna,0.55433,YDL160C,0.0284943,YDL160C,0.685183,YDL160C,0.00331134,YDL160C,2.20921,6,0.106026,YDL160C
yeast.edgelist,Perturbado_Hub,YDL160C-YCL030C,0.554176,YDL160C,0.0284575,YDL160C,0.685111,YDL160C,0.00331004,YDL160C,2.20923,6,0.106021,YDL160C
yeast.edgelist,Perturbado_Periferia,snR62-YPR042C,0.55433,YDL160C,0.0284917,YDL160C,0.685117,YDL160C,0.00331096,YDL160C,2.20901,6,0.106026,YDL160C
yeast.edgelist,Perturbado_Medio,YNR022C-YPR119W,0.55433,YDL160C,0.0284944,YDL160C,0.685183,YDL160C,0.00331135,YDL160C,2.20921,6,0.106026,YDL160C
