Dataset,Estado,Arista,Deg_Val,Deg_Top1,Bet_Val,Bet_Top1,Clo_Val,Clo_Top1,PR_Val,PR_Top1,ASP_Val,Dia_Val,Eig_Val,Eig_Top1
yeast.edgelist,Original,Ninguna,0.55433,YDL160C,0.0284943,YDL160C,0.685183,YDL160C,0.00331134,YDL160C,2.20921,6,0.106026,YDL160C
yeast.edgelist,Aumento_Hub_Hub,YDL160C+YGL122C,0.554483,YDL160C,0.0285201,YDL160C,0.685904,YDL160C,0.00331222,YDL160C,2.20921,6,0.106224,YDL160C
yeast.edgelist,Aumento_Hub_Peri,YDL160C+snR62,0.554483,YDL160C,0.0286103,YDL160C,0.685255,YDL160C,0.0033221,YDL160C,2.20907,6,0.106027,YDL160C
yeast.edgelist,Aumento_Peri_Peri,snR62+AT1G07910,0.55433,YDL160C,0.0284925,YDL160C,0.685183,YDL160C,0.00331107,YDL160C,2.2092,6,0.106026,YDL160C
